name,std,high,vol,聚類结果
TROYUSDT,0.00028017118341965437,0.00044378423864975633,0.009063615817249009,0
TRUUSDT,0.005556430932867257,0.007110528554799639,0.0004630181736693782,0
TRXDOWNUSDT,0.12948440083398766,0.13128833147843447,3.0926446063022007e-06,0
TRXUPUSDT,0.007076625204205149,0.005855668977849916,9.607019991106976e-05,0
TRXUSDT,0.003044622981993167,0.006285906547089811,0.014975432928779332,0
TUSDUSDT,0.00025866444296546745,0.09691777611595824,0.00036364014390566606,0
TWTUSDT,0.06570742186476801,0.10887527972951776,7.778889636622741e-05,0
UMAUSDT,0.1964037216108051,0.2905925125213183,1.772936104113762e-05,0
UNIUSDT,0.7822927767164556,0.6753838160014228,7.169231257358261e-05,1
USDCUSDT,0.00028115867067682456,0.09691777611595824,0.006301463620702003,0
UTKUSDT,0.008840523549725577,0.0120039964031364,9.409570069846128e-05,0
VETUSDT,0.0021416325255687193,0.002562994968216587,0.014800291895227566,0
VITEUSDT,0.004228840196997191,0.003331414770935607,0.0011791109177234,0
VTHOUSDT,0.00011998241753701326,0.00015608708930892778,0.01120338295917129,0
WANUSDT,0.013587723929142889,0.020967279095634426,8.946161621821314e-05,0
WAVESUSDT,0.47451868367179667,0.5102656137525943,0.0001106904801137992,1
WINUSDT,0.0,0.0,1.0,0
WRXUSDT,0.03140309465315476,0.03051196390872692,0.0004156634042580074,0
WTCUSDT,0.025976558615491342,0.03337052433498304,0.00019716757250374712,0
XEMUSDT,0.004100309935942388,0.004707399789675845,0.0007024787527480023,0
XLMUSDT,0.013265001325527664,0.012876099584028102,0.003216147261736772,0
XRPDOWNUSDT,0.00019654863343588174,8.831498211829947e-05,0.2068480239098954,0
XRPUPUSDT,0.057234639410518644,0.02676192023089261,0.00044467386034434744,0
XRPUSDT,0.06698248878027956,0.05415565014623522,0.01871293560505885,0
XTZUSDT,0.1547897685229446,0.1702422735582637,9.757675265748427e-05,0
XVSUSDT,0.4121899960767623,0.5348783035244267,4.405371935593615e-06,1
ZILUSDT,0.003088679709929575,0.003715140170527955,0.007311190312586431,0
ZRXUSDT,0.030929989754113294,0.032168959952421146,0.00013934306358796548,0
